,TravelTime,Img_name
1,3.0,speed_1020_1.jpg
2,2.0,speed_1020_2.jpg
4,2.0,speed_1020_4.jpg
5,4.0,speed_1020_5.jpg
6,4.0,speed_1020_6.jpg
12,5.0,speed_1020_12.jpg
13,4.0,speed_1020_13.jpg
14,4.0,speed_1020_14.jpg
15,4.0,speed_1020_15.jpg
16,2.0,speed_1020_16.jpg
17,3.0,speed_1020_17.jpg
21,3.0,speed_1020_21.jpg
22,0.0,speed_1020_22.jpg
25,3.0,speed_1020_25.jpg
27,4.0,speed_1020_27.jpg
28,4.0,speed_1020_28.jpg
31,2.0,speed_1020_31.jpg
32,3.0,speed_1020_32.jpg
33,3.0,speed_1020_33.jpg
34,3.0,speed_1020_34.jpg
36,2.0,speed_1020_36.jpg
40,3.0,speed_1020_40.jpg
42,6.0,speed_1020_42.jpg
45,2.0,speed_1020_45.jpg
46,2.0,speed_1020_46.jpg
47,3.0,speed_1020_47.jpg
48,3.0,speed_1020_48.jpg
49,3.0,speed_1020_49.jpg
50,3.0,speed_1020_50.jpg
51,0.0,speed_1020_51.jpg
52,1.0,speed_1020_52.jpg
53,1.0,speed_1020_53.jpg
54,1.0,speed_1020_54.jpg
55,2.0,speed_1020_55.jpg
56,3.0,speed_1020_56.jpg
57,1.0,speed_1020_57.jpg
58,1.0,speed_1020_58.jpg
59,1.0,speed_1020_59.jpg
60,2.0,speed_1020_60.jpg
61,3.0,speed_1020_61.jpg
62,2.0,speed_1020_62.jpg
63,3.0,speed_1020_63.jpg
64,1.0,speed_1020_64.jpg
65,2.0,speed_1020_65.jpg
66,2.0,speed_1020_66.jpg
67,2.0,speed_1020_67.jpg
68,2.0,speed_1020_68.jpg
69,1.0,speed_1020_69.jpg
70,2.0,speed_1020_70.jpg
71,3.0,speed_1020_71.jpg
72,3.0,speed_1020_72.jpg
73,3.0,speed_1020_73.jpg
74,4.0,speed_1020_74.jpg
75,9.0,speed_1020_75.jpg
76,3.0,speed_1020_76.jpg
77,3.0,speed_1020_77.jpg
78,3.0,speed_1020_78.jpg
79,2.0,speed_1020_79.jpg
80,2.0,speed_1020_80.jpg
81,2.0,speed_1020_81.jpg
82,3.0,speed_1020_82.jpg
83,2.0,speed_1020_83.jpg
84,3.0,speed_1020_84.jpg
85,5.0,speed_1020_85.jpg
86,3.0,speed_1020_86.jpg
87,3.0,speed_1020_87.jpg
88,3.0,speed_1020_88.jpg
89,3.0,speed_1020_89.jpg
90,3.0,speed_1020_90.jpg
91,1.0,speed_1020_91.jpg
92,4.0,speed_1020_92.jpg
93,3.0,speed_1020_93.jpg
94,3.0,speed_1020_94.jpg
95,2.0,speed_1020_95.jpg
96,2.0,speed_1020_96.jpg
97,3.0,speed_1020_97.jpg
98,2.0,speed_1020_98.jpg
99,3.0,speed_1020_99.jpg
100,3.0,speed_1020_100.jpg
101,3.0,speed_1020_101.jpg
102,3.0,speed_1020_102.jpg
103,2.0,speed_1020_103.jpg
104,3.0,speed_1020_104.jpg
105,2.0,speed_1020_105.jpg
106,3.0,speed_1020_106.jpg
107,2.0,speed_1020_107.jpg
108,2.0,speed_1020_108.jpg
109,2.0,speed_1020_109.jpg
